,company name,nfs
0,reliance,https://www.investing.com/equities/reliance-industries-chart
1,jsw steel,https://www.investing.com/equities/jsw-steel-chart
2,jindal steel,https://www.investing.com/equities/jindal-steel---power-chart
3,vedanta,https://www.investing.com/equities/sesa-goa-chart
4,tata steel,https://www.investing.com/equities/tata-steel-chart
5,cipla,https://www.investing.com/equities/cipla-chart
6,sun pharma,https://www.investing.com/equities/sun-pharma-advanced-research-chart
7,dr reddy's lab,https://www.investing.com/equities/dr.-reddys-laboratories-chart
8,lupin,https://www.investing.com/equities/lupin-chart
9,ipca laboratories,https://www.investing.com/equities/ipca-laboratories-chart
10,bharti airtel,https://www.investing.com/equities/bharti-airtel-chart
11,infosys,https://www.investing.com/equities/infosys-chart
12,tech mahindra,https://www.investing.com/equities/tech-mahindra-chart
13,larsen and turbro,https://www.investing.com/equities/larsen---toubro-chart
14,mindtree,https://www.investing.com/equities/mindtree-chart
15,wipro,https://www.investing.com/equities/wipro-ltd-chart
16,raymonds,https://www.investing.com/equities/raymond-chart
17,hcl,https://www.investing.com/equities/hcl-technologies-chart
18,balrampur chinni,https://www.investing.com/equities/balrampur-chini-mills-chart
19,tcs,https://www.investing.com/equities/tata-consultancy-services-chart
20,titan,https://www.investing.com/equities/titan-industries-chart
21,voltas,https://www.investing.com/equities/voltas-chart
22,century plyboard,https://www.investing.com/equities/century-plyboards-(india)-chart
23,itc,https://www.investing.com/equities/itc-chart
24,hindustan uniliver,https://www.investing.com/equities/hindustan-unilever-chart
25,tata consumers,https://www.investing.com/equities/tata-global-beverages-chart
26,godrej consumers,https://www.investing.com/equities/godrej-consumer-products-chart
27,nestle,https://www.investing.com/equities/nestle-chart
28,marico,https://www.investing.com/equities/marico-chart
29,britannia,https://www.investing.com/equities/britannia-industries-chart
30,hdfc bank,https://www.investing.com/equities/hdfc-bank-ltd-chart
31,state bank,https://www.investing.com/equities/state-bank-of-india-chart
32,icici bank,https://www.investing.com/equities/icici-bank-ltd-chart
33,axis bank,https://www.investing.com/equities/axis-bank-chart
34,yes bank,https://www.investing.com/equities/yes-bank-chart
35,idfc first bank,https://www.investing.com/equities/idfc-bank-ltd-chart
36,bandhan bank,https://www.investing.com/equities/bandhan-bank-ltd-chart
37,bank of baroda,https://www.investing.com/equities/bank-of-baroda-chart
38,federal bank,https://www.investing.com/equities/the-federal-bank-chart
39,induslnd bank,https://www.investing.com/equities/indusind-bank-chart
40,kotak mahindra bank,https://www.investing.com/equities/kotak-mahindra-bank-chart
41,punjab national bank,https://www.investing.com/equities/punjab-national-bank-chart
42,rbl bank,https://www.investing.com/equities/rbl-bank-ltd-chart
43,eid parry,https://www.investing.com/equities/eid-parry-india-chart
44,nifty,https://www.investing.com/indices/s-p-cnx-nifty-chart
45,sensex,https://www.investing.com/indices/sensex-chart
46,nifty it,https://www.investing.com/indices/cnx-it-chart
47,nifty pharma,https://www.investing.com/indices/cnx-pharma-chart
48,nifty fmcg,https://www.investing.com/indices/cnx-fmcg-chart
49,nifty metal,https://www.investing.com/indices/cnx-metal-chart
50,nifty midcap,https://www.investing.com/indices/nifty-midcap-50-chart
51,nifty smallcap,https://www.investing.com/indices/cnx-smallcap-chart
